role,role2
Purchasing Agent,Clerical / Agents
board,Directors/Board/President/Owner
chair,Directors/Board/President/Owner
Chairman,Directors/Board/President/Owner
Owner,Directors/Board/President/Owner
Pres,Directors/Board/President/Owner
Secretary,Clerical / Agents
Vice,Directors/Board/President/Owner
chemist,Engineering positions
Chemist,Engineering positions
Consulting Engineer,Engineering positions
engineer,Engineering positions
Metallurgist,Engineering positions
metallurgist,Engineering positions
Mining Engineer,Engineering positions
Chief,Manager
Gen. Manager,Manager
General Manager,Manager
General Mgr,Manager
manager,Manager
Manager,Manager
Mgr,Manager
Mine Manager,Manager
managing director,Managing Director
Managing Director,Managing Director
Banker,Other
Lessee,Other
Gen. Superintendent,Superintendent
Gen. Supt,Superintendent
General Superintendent,Superintendent
General Supt,Superintendent
Superintendent,Superintendent
superintendent,Superintendent
Supt,Superintendent
Assistant,Clerical / Agents
